Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,varietas,forma
4042,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,NA,NA,NA,NA,NA
49563,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Peucedanum,NA,Peucedanum japonicum,NA,NA,NA
52477,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Peucedanum,NA,Peucedanum ostruthium,NA,NA,NA
271192,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,NA,Pimpinella anisum,NA,NA,NA
496686,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,NA,Pimpinella candolleana,NA,NA,NA
642903,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula,NA,Sanicula astrantiifolia,NA,NA,NA
203717,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Saposhnikovia,NA,Saposhnikovia divaricata,NA,NA,NA
40909,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Scandix,NA,Scandix pecten-veneris,NA,NA,NA
40869,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Siler,NA,Siler montanum,NA,NA,NA
240844,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Sium,NA,Sium sisarum,NA,NA,NA
49576,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Torilis,NA,Torilis japonica,NA,NA,NA
287721,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,NA,Aralia continentalis,NA,NA,NA
45207,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,NA,Aralia nudicaulis,NA,NA,NA
1433379,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,NA,Aralia soratensis,NA,NA,NA
13341,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Aralia,NA,Aralia spinosa,NA,NA,NA
46394,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Dendropanax,NA,NA,NA,NA,NA
2072290,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Didymopanax,NA,Didymopanax vinosus,NA,NA,NA
2915486,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Didymopanax,NA,NA,NA,NA,NA
82096,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Eleutherococcus,NA,Eleutherococcus senticosus,NA,NA,NA
105886,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Eleutherococcus,NA,Eleutherococcus sessiliflorus,NA,NA,NA
85351,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,NA,Hedera canariensis,NA,NA,NA
4052,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,NA,Hedera helix,NA,NA,NA
46415,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Heptapleurum,NA,Heptapleurum arboricola,NA,NA,NA
230597,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Heptapleurum,NA,Heptapleurum delavayi,NA,NA,NA
256635,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Heptapleurum,NA,Heptapleurum leucanthum,NA,NA,NA
1475409,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,NA,Hydrocotyle umbellata,NA,NA,NA
228393,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Kalopanax,NA,Kalopanax septemlobus,NA,NA,NA
52502,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Oreopanax,NA,NA,NA,NA,NA
4054,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,NA,Panax ginseng,NA,NA,NA
44586,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,NA,Panax notoginseng,NA,NA,NA
2915488,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Sciodaphyllum,NA,NA,NA,NA,NA
46417,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Tetrapanax,NA,Tetrapanax papyrifer,NA,NA,NA
86852,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Griseliniaceae,Griselinia,NA,Griselinia littoralis,NA,NA,NA
43073,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Pittosporaceae,Pittosporum,NA,Pittosporum tobira,NA,NA,NA
4298,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex aquifolium,NA,NA,NA
185500,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex corallina,NA,NA,NA
185530,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex macrocarpa,NA,NA,NA
101729,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex opaca,NA,NA,NA
185542,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex paraguariensis,NA,NA,NA
1872703,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex szechwanensis,NA,NA,NA
185559,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,Ilex verticillata,NA,NA,NA
4295,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA,NA,NA,NA,NA
2021390,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Helwingiaceae,Helwingia,NA,Helwingia omeiensis,NA,NA,NA
184783,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Areca,NA,Areca catechu,NA,NA,NA
115440,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Areca,NA,NA,NA,NA,NA
131256,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Arenga,NA,Arenga caudata,NA,NA,NA
154467,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Bactris,NA,Bactris gasipaes,NA,NA,NA
292647,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Bismarckia,NA,Bismarckia nobilis,NA,NA,NA
145675,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Borassus,NA,Borassus flabellifer,NA,NA,NA
2021205,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Brahea,NA,Brahea edulis,NA,NA,NA
93242,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Calamus,NA,Calamus deerratus,NA,NA,NA
1489466,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Calamus,NA,Calamus salicifolius,NA,NA,NA
561305,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Caryota,NA,Caryota urens,NA,NA,NA
