,NCBI
1816,22774
1817,22788
1818,227898
1819,227899
1820,227900
1821,227903
1822,228181
1823,2282342
1824,2283001
1825,228396
1826,228416
1827,228586
1828,228587
1829,22868
1830,228709
1831,228813
1832,22910
1833,2291027
1834,2291900
1835,22922
1836,2293348
1837,229629
1838,22973
1839,22986
1840,22994
1841,23005
1842,23012
1843,23029
1844,23030
1845,2303059
1846,2304098
1847,2304100
1848,2304148
1849,230597
1850,23066
1851,2306765
1852,230707
1853,23097
1854,23109
1855,23110
1856,23137
1857,23138
1858,23139
1859,23143
1860,23146
1861,2315346
1862,23159
1863,231674
1864,23170
1865,23176
1866,231906
1867,231911
1868,231912
1869,23199
1870,23204
1871,23207
1872,23211
1873,2321241
1874,2321264
1875,2321325
1876,2321349
1877,2321366
1878,2321367
1879,23216
1880,23222
1881,23224
1882,232347
1883,232378
1884,233667
1885,233668
1886,233674
1887,233728
1888,233754
1889,233875
1890,233879
1891,233880
1892,233881
1893,2340953
1894,23461
1895,23513
1896,235594
1897,235595
1898,235597
1899,235629
1900,235631
1901,235633
1902,235721
1903,235783
1904,235784
1905,2358445
1906,235879
1907,235880
1908,235889
1909,235893
1910,2364055
1911,23672
1912,236733
1913,237574
1914,237596
1915,237834
1916,237870
1917,237871
1918,237945
1919,237954
1920,237956
1921,237959
1922,238069
1923,238070
1924,23808
1925,238081
1926,23809
1927,238243
1928,238825
1929,238833
1930,238930
1931,239292
1932,239293
1933,239422
1934,239476
1935,239685
1936,239687
1937,240013
1938,240052
1939,240079
1940,240453
1941,24079
1942,240844
1943,241778
1944,241780
1945,241781
1946,241789
1947,241792
1948,241793
1949,241799
1950,241800
1951,241801
1952,241806
1953,241843
1954,241844
1955,241851
1956,241854
1957,241861
1958,241862
1959,241868
1960,241869
1961,241873
1962,241874
1963,241884
1964,241886
1965,241888
1966,241903
1967,241905
1968,241909
1969,241910
1970,241914
1971,241915
1972,241916
1973,241917
1974,241919
1975,241920
1976,2420369
1977,2420415
1978,242528
1979,244001
1980,244030
1981,244311
1982,2448771
1983,24579
1984,24581
1985,24584
1986,24609
1987,24646
1988,246517
1989,246523
1990,24655
1991,24663
1992,246834
1993,247089
1994,247113
1995,24735
1996,247692
1997,24775
1998,247880
1999,247899
2000,247909
2001,248507
2002,248524
2003,248525
2004,248526
2005,2485361
2006,2485371
2007,248539
2008,249102
2009,249112
2010,24921
2011,249286
2012,24942
2013,24943
2014,24966
2015,2498814
2016,2508038
2017,2508044
2018,2508080
2019,2511006
2020,251260
2021,2516486
2022,2516544
2023,25168
2024,251764
2025,25215
2026,25227
2027,2527811
2028,252867
2029,2528942
2030,2528943
2031,2528944
2032,2528945
2033,2528947
2034,2528948
2035,2528951
2036,2528955
2037,253220
2038,253752
2039,253756
2040,25384
2041,254027
2042,25443
2043,2545981
2044,2546017
2045,2546097
2046,25473
2047,2547412
2048,254777
2049,254779
2050,2552202
2051,255348
2052,255352
2053,255890
2054,255891
2055,255893
2056,255894
2057,25623
2058,25628
2059,25629
2060,25636
2061,25641
2062,25645
2063,25664
2064,256808
2065,2570238
2066,2576631
2067,258178
2068,258281
2069,25889
2070,25894
2071,25913
2072,2592274
2073,2592283
2074,2592314
2075,259380
2076,259381
2077,2594747
2078,2595081
2079,2595095
2080,259653
2081,259657
2082,259658
2083,259661
2084,259665
2085,2598621
2086,2598623
2087,259893
2088,25996
2089,26000
2090,260125
2091,260138
2092,260142
2093,260143
2094,2601875
2095,26019
2096,260201
2097,26021
2098,2602419
2099,260324
2100,2605637
2101,260592
2102,260602
2103,260608
2104,260701
2105,260718
2106,261007
2107,261008
2108,261082
2109,26122
2110,261423
2111,261451
2112,261771
2113,261786
2114,261802
2115,261915
2116,261997
2117,261998
2118,262276
2119,2624298
2120,262624
2121,262675
2122,262913
2123,26319
2124,263213
2125,263242
2126,263288
2127,263291
2128,263292
2129,263301
2130,263308
2131,263322
2132,26339
2133,263467
2134,26378
2135,263973
2136,264417
2137,264418
2138,26468
2139,26473
2140,26485
2141,264924
2142,26496
2143,265143
2144,2651908
2145,2651909
2146,2651910
2147,2651911
2148,2652448
2149,2652449
2150,2652451
2151,2652452
2152,2652454
2153,2652455
2154,2652465
2155,2652466
2156,2652467
2157,2652468
2158,2652469
2159,2652470
2160,2652471
2161,2652473
2162,2652474
2163,2652475
2164,2652476
2165,2652477
2166,2652478
2167,2652479
2168,2652481
2169,2652482
2170,2652483
2171,2652484
2172,2652485
2173,2652486
2174,2652487
2175,2652488
2176,2652489
2177,2652491
2178,2652492
2179,2652493
2180,2652494
2181,2652495
2182,2652496
2183,2652497
2184,2652498
2185,2652500
2186,2652501
2187,2652503
2188,2652504
2189,2652505
2190,2652506
2191,2652507
2192,2652508
2193,2652509
2194,2652510
2195,2652511
2196,2652512
2197,2652513
2198,2652514
2199,2652515
2200,2652516
2201,2652519
2202,2652521
2203,2652522
2204,2652524
2205,2652525
2206,2652526
2207,2652527
2208,2652528
2209,2652529
2210,2652530
2211,2652531
2212,2652532
2213,2652534
2214,2652535
2215,2652537
2216,2652538
2217,2652539
2218,2652540
2219,2652541
2220,2652542
2221,2652543
2222,2652544
2223,2652545
2224,2652547
2225,2652548
2226,2652549
2227,2652550
2228,2652551
