name,rank,id
Helichrysum,genus,59430
Nasturtium,genus,65947
Cymbopogon citratus,species,66014
Cymbopogon,genus,66013
Citrus japonica,species,76966
Passiflora edulis,species,78168
Crocus sativus,species,82528
Iridaceae,family,26339
Crocus,genus,58949
Macadamia jansenii,species,83725
Proteaceae,family,4328
Macadamia,genus,4329
Laurus,genus,85222
Laurus nobilis,species,85223
Mauritia flexuosa,species,93293
Mauritia,genus,93292
Alpinia galanga,species,94327
Alpinia,genus,94326
Zingiber officinale,species,94328
Curcuma,genus,99568
Elettaria,genus,105180
Elettaria cardamomum,species,105181
Opuntia,genus,106975
Theobroma grandiflorum,species,108881
Pachyrhizus,genus,109170
Physalis angulata,species,113208
Areca,genus,115440
Euterpe oleracea,species,115466
Euterpe,genus,115465
Psidium,genus,120289
Pimenta group,no rank,1705104
Physalis peruviana,species,126903
Prunus cerasus,species,140311
Rungia,genus,141330
Acanthaceae,family,4185
Bactris gasipaes,species,154467
Bactris,genus,154466
Vigna radiata,species,157791
Citrus x aurantiifolia,species,159033
Anacardium occidentale,species,171929
Selenicereus undatus,species,176265
Syzygium,genus,178174
Areca catechu,species,184783
Rubus fruticosus,species,211815
Solanum sessiliflorum,species,227721
Pimpinella anisum,species,271192
Pimpinella,genus,40958
Malus pumila,species,283210
Psidium cattleyanum,species,375274
Citrus bergamia,species,380129
Psidium cattleyanum var. littorale,varietas,482947
Anethum foeniculum,species,2849586
Smallanthus sonchifolius,species,185202
Smallanthus,genus,176612
Valeriana jatamansi,species,59170
Valeriana,genus,19952
Byrsonima,genus,4269
Malpighiaceae,family,4268
Byrsonima crassifolia,species,4270
Barnebya,genus,124937
Acmanthera latifolia,species,151786
Acmanthera,genus,151785
Banisteriopsis,genus,151794
Blepharandra heteropetala,species,151797
Blepharandra,genus,151796
Burdachia,genus,151798
Ectopopterys soejartoi,species,151817
Ectopopterys,genus,151816
Gaudichaudia albida,species,151825
Gaudichaudia,genus,151824
Heladena multiflora,species,151830
Heladena,genus,151829
Heteropterys,genus,151831
Hiptage benghalensis,species,151834
Hiptage,genus,151833
Hiraea,genus,151835
Janusia,genus,151838
Janusia mediterranea,species,151842
Mascagnia,genus,151848
Carolus chasei,species,151851
Carolus,genus,1027115
Mascagnia sepium,species,151854
Niedenzuella stannea,species,151855
Niedenzuella,genus,1027192
Mcvaughia bahiana,species,151857
Mcvaughia,genus,151856
Peixotoa,genus,151862
Peixotoa glabra,species,151863
Ptilochaeta,genus,151868
Ptilochaeta bahiensis,species,151869
Stigmaphyllon,genus,151876
Stigmaphyllon paralias,species,151877
Tetrapterys,genus,151880
Tetrapterys microphylla,species,151881
Thryallis latifolia,species,151883
Thryallis,genus,151882
Verrucularina,genus,151890
Verrucularina glaucophylla,species,151891
Heteropterys leona,species,176641
Aenigmatanthera lasiandra,species,212253
Aenigmatanthera,genus,1026989
Acridocarpus smeathmannii,species,217129
Acridocarpus,genus,151787
Camarea,genus,259653
Heteropterys bicolor,species,259657
Heteropterys byrsonimifolia,species,259658
Heteropterys chrysophylla,species,259661
Heteropterys pauciflora,species,259665
Byrsonima spicata,species,883765
Aspicarpa harleyi,species,1027057
Aspicarpa,genus,151789
Banisteriopsis adenopoda,species,1027063
Banisteriopsis argyrophylla,species,1027065
Banisteriopsis harleyi,species,1027069
Banisteriopsis laevifolia,species,1027070
Banisteriopsis muricata,species,1027072
Blepharandra hypoleuca,species,1027080
Bunchosia glandulifera,species,1027090
Bunchosia,genus,56630
Byrsonima coccolobifolia,species,1027102
Callaeum antifebrile,species,1027110
Callaeum,genus,151800
Callaeum psilophyllum,species,1027114
Christianella multiglandulosa,species,1027120
Christianella,genus,1027119
Dicella bracteosa,species,1027122
Dicella,genus,85191
Dicella macroptera,species,1027124
Diplopterys pubipetala,species,1027129
Diplopterys,genus,176637
Galphimia brasiliensis,species,1027132
Galphimia,genus,112832
Heteropterys brachiata,species,1027142
Heteropterys leschenaultiana,species,1027148
Janusia janusioides,species,1027163
Malpighia mexicana,species,1027172
Malpighia,genus,17047
Niedenzuella acutifolia,species,1027193
Niedenzuella sericea,species,1027194
Peixotoa cordistipula,species,1027196
Peixotoa reticulata,species,1027199
Sphedamnocarpus angolensis,species,1027204
Sphedamnocarpus,genus,151874
Stigmaphyllon ciliatum,species,1027211
Tetrapterys ambigua,species,1027214
Tetrapterys phlomoides,species,1027218
Tetrapterys schiedeana,species,1027220
Hiraea reclinata,species,1125931
Byrsonima ligustrifolia,species,1472305
Alicia,genus,1561394
Amorimia septentrionalis,species,1561735
Amorimia,genus,1026990
Banisteriopsis anisandra,species,1561738
Banisteriopsis campestris,species,1561740
Banisteriopsis malifolia,species,1561743
Banisteriopsis megaphylla,species,1561744
Banisteriopsis stellaris,species,1561750
Banisteriopsis vernoniifolia,species,1561751
Bronwenia megaptera,species,1561753
Bronwenia,genus,1027081
Bunchosia montana,species,1561762
Bunchosia pallescens,species,1561763
Camarea affinis,species,1561775
Janusia schwannioides,species,1561795
Peixotoa hispidula,species,1561815
Peixotoa tomentosa,species,1561816
Tetrapterys cardiophylla,species,1561826
Tetrapterys mucronata,species,1561831
Byrsonima intermedia,species,1801580
Byrsonima sericea,species,1801593
Byrsonima verbascifolia,species,1801599
Diacidia aracaensis,species,1801601
Diacidia,genus,151808
Stigmaphyllon acuminatum,species,1804184
Stigmaphyllon alternifolium,species,1804185
Stigmaphyllon angustilobum,species,1804186
Stigmaphyllon auriculatum,species,1804188
Stigmaphyllon blanchetii,species,1804190
Stigmaphyllon bonariense,species,1804191
Stigmaphyllon caatingicola,species,1804192
Stigmaphyllon cavernulosum,species,1804193
Stigmaphyllon convolvulifolium,species,1804194
Stigmaphyllon gayanum,species,1804195
