MassIVE,Filename,node_id,file_usi
MSV000084900,18NAVY28_v2_snk_1_BA5_01_39784.mzXML,complex,mzspec:MSV000084900:18NAVY28_v2_snk_1_BA5_01_39784
MSV000084900,18NAVY28_v2_snk_2_BB5_01_39761.mzXML,carrot,mzspec:MSV000084900:18NAVY28_v2_snk_2_BB5_01_39761
MSV000084900,18NAVY28_v2_snk_3_BC5_01_39762.mzXML,plant,mzspec:MSV000084900:18NAVY28_v2_snk_3_BC5_01_39762
MSV000084900,18NAVY28_v2_sup_1_BG5_01_39739.mzXML,broccoli,mzspec:MSV000084900:18NAVY28_v2_sup_1_BG5_01_39739
MSV000084900,18NAVY28_v2_sup_2_rerun2_BH5_01_39793.mzXML,complex,mzspec:MSV000084900:18NAVY28_v2_sup_2_rerun2_BH5_01_39793
MSV000084900,18NAVY28_v2_sup_3_BA6_01_39746.mzXML,chicken,mzspec:MSV000084900:18NAVY28_v2_sup_3_BA6_01_39746
MSV000084900,18NAVY28_v2_sup_4_BB6_01_39743.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY28_v2_sup_4_BB6_01_39743
MSV000084900,18NAVY28_v2_sup_5_BC6_01_39744.mzXML,green grape,mzspec:MSV000084900:18NAVY28_v2_sup_5_BC6_01_39744
MSV000084900,18NAVY28_v2_sup_6_rerun_BD6_01_39839.mzXML,butter,mzspec:MSV000084900:18NAVY28_v2_sup_6_rerun_BD6_01_39839
MSV000084900,18NAVY28_v2_sup_7_BE6_01_39745.mzXML,potato,mzspec:MSV000084900:18NAVY28_v2_sup_7_BE6_01_39745
MSV000084900,18NAVY28_V2_supper_GE6_01_39857.mzXML,complex,mzspec:MSV000084900:18NAVY28_V2_supper_GE6_01_39857
MSV000084900,18NAVY30_V1_ALL_RC5_01_39875.mzXML,complex,mzspec:MSV000084900:18NAVY30_V1_ALL_RC5_01_39875
MSV000084900,18NAVY30_V1_breakfast_RC2_01_39861.mzXML,complex,mzspec:MSV000084900:18NAVY30_V1_breakfast_RC2_01_39861
MSV000084900,18NAVY30_v1_brk_1_BG7_01_39777.mzXML,complex,mzspec:MSV000084900:18NAVY30_v1_brk_1_BG7_01_39777
MSV000084900,18NAVY30_v1_lun_1_BF8_01_39718.mzXML,complex,mzspec:MSV000084900:18NAVY30_v1_lun_1_BF8_01_39718
MSV000084900,18NAVY30_v1_lun_10_BG9_01_39721.mzXML,almond,mzspec:MSV000084900:18NAVY30_v1_lun_10_BG9_01_39721
MSV000084900,18NAVY30_v1_lun_11_BH9_01_39717.mzXML,plant,mzspec:MSV000084900:18NAVY30_v1_lun_11_BH9_01_39717
MSV000084900,18NAVY30_v1_lun_2_BG8_01_39715.mzXML,complex,mzspec:MSV000084900:18NAVY30_v1_lun_2_BG8_01_39715
